"REF_DATE","GEO","DGUID","Type of fuel","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1992-09","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","56.6","","","","1"
"1992-10","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","56.6","","","","1"
"1992-11","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","56.6","","","","1"
"1992-12","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","56.6","","","","1"
"1993-01","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","56.6","","","","1"
"1993-02","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","56.6","","","","1"
"1993-03","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","56.6","","","","1"
"1993-04","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","54.2","","","","1"
"1993-05","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","54.0","","","","1"
"1993-06","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","54.0","","","","1"
"1993-07","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","54.5","","","","1"
"1993-08","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","54.5","","","","1"
"1993-09","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","54.5","","","","1"
"1993-10","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","54.7","","","","1"
"1993-11","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","54.7","","","","1"
"1993-12","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","54.7","","","","1"
"1994-01","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","53.3","","","","1"
"1994-02","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","53.2","","","","1"
"1994-03","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","53.2","","","","1"
"1994-04","Charlottetown and Summerside, Prince Edward Island","","Diesel fuel at self service filling stations","Cents per litre","57","units","0","v735144","3.6","53.2","","","","1"
