,,,,,,,,,,,,,
List of Alberta Snowfly Elements in the ACIMS Database - June 2022,,,,,,,,,,,,,
,"Please note:  Elements may be tracked at the species or subspecies/variety level, so be sure to check both the species and infraspecies for tracking status.",,,,,,,,,,,,
Alberta,Invertebrate Animal,IIPLE24550,Perlodidae,Isoperla sordida,notched stripetail,Isoperla sordida,Notched Stripetail,SU,NU,G3G4,Native,Unknown/Undetermined,Track all extant and selected historical EOs
Alberta,Invertebrate Animal,IIPLE24580,Perlodidae,Isoperla transmarina,boreal stripetail stonefly,Isoperla transmarina,Boreal Stripetail,SU,N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE25010,Perlodidae,Arcynopteryx dichroa,Holarctic Springfly,Arcynopteryx dichroa,Holarctic Springfly,SU,N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE27020,Perlodidae,Megarcys signata,Laramide Springfly,Megarcys signata,Laramide Springfly,SU,N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE27030,Perlodidae,Megarcys subtruncata,truncate springfly,Megarcys subtruncata,Truncate Springfly,SU,NU,G4,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE27040,Perlodidae,Megarcys watertoni,Glacier Springfly,Megarcys watertoni,Glacier Springfly,SU,N4N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE29010,Perlodidae,Perlinodes aurea,longgill springfly,Perlinodes aurea,Longgill Springfly,SU,NU,G4,Native,Present,Track all extant and selected historical EOs
Alberta,Invertebrate Animal,IIPLE2A010,Perlodidae,Setvena bradleyi,Alberta springfly,Setvena bradleyi,Alberta Springfly,SU,N4N5,G4G5,Native,Unknown/Undetermined,Track all extant and selected historical EOs
Alberta,Invertebrate Animal,IIPLE2B010,Perlodidae,Skwala americana,American springfly,Skwala americana,American Springfly,SU,N4N5,G5,Native,Present,Do not track
Alberta,Invertebrate Animal,IIPLE2D010,Perlodidae,Cultus aestivalis,summer springfly,Cultus aestivalis,Summer Springfly,SU,NU,G5,Native,Present,Track all extant and selected historical EOs
Alberta,Invertebrate Animal,IIPLE2D050,Perlodidae,Cultus tostonus,Toston Springfly,Cultus tostonus,Toston Springfly,SU,NU,G5,Native,Present,Do not track
