"REF_DATE","GEO","DGUID","Age group","Sex","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008","Alberta","2016A000248","16 years and over","Males","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680733","12.1.2.1.5","59000","B","","","0"
"2009","Alberta","2016A000248","16 years and over","Males","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680733","12.1.2.1.5","56400","B","","","0"
"2010","Alberta","2016A000248","16 years and over","Males","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680733","12.1.2.1.5","55400","A","","","0"
"2011","Alberta","2016A000248","16 years and over","Males","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680733","12.1.2.1.5","55300","A","","","0"
"2012","Alberta","2016A000248","16 years and over","Males","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680733","12.1.2.1.5","58500","B","","","0"
"2013","Alberta","2016A000248","16 years and over","Males","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680733","12.1.2.1.5","60100","A","","","0"
"2014","Alberta","2016A000248","16 years and over","Males","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680733","12.1.2.1.5","62300","A","","","0"
"2015","Alberta","2016A000248","16 years and over","Males","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680733","12.1.2.1.5","58300","B","","","0"
"2016","Alberta","2016A000248","16 years and over","Males","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680733","12.1.2.1.5","53900","B","","","0"
"2017","Alberta","2016A000248","16 years and over","Males","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680733","12.1.2.1.5","56500","B","","","0"
"2018","Alberta","2016A000248","16 years and over","Males","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680733","12.1.2.1.5","53900","A","","","0"
"2019","Alberta","2016A000248","16 years and over","Males","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680733","12.1.2.1.5","54800","B","","","0"
"2020","Alberta","2016A000248","16 years and over","Males","Total income","Median income (excluding zeros)","2021 constant dollars","429","units","0","v107680733","12.1.2.1.5","52600","A","","","0"


